source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,n_sources,n_primary_sources,n_references,references_stripped
Q14192,P24385,FHL2,CCND1,True,False,True,True,False,True,2,CollecTRI:21377781;TRRUST:21377781,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,21377781
Q14192,P38936,FHL2,CDKN1A,True,True,False,True,True,False,2,CollecTRI:21377781;TRRUST:21377781,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,21377781
Q14192,P46527,FHL2,CDKN1B,True,True,False,True,True,False,2,CollecTRI:21377781;TRRUST:21377781,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,21377781
Q14192,P19838,FHL2,NFKB1,True,True,False,True,True,False,2,CollecTRI:18752053;TRRUST:18752053,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,18752053
Q14192,Q04206,FHL2,RELA,True,True,False,True,True,False,2,CollecTRI:18752053;TRRUST:18752053,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,18752053
Q6QHK4,P15923,FIGLA,TCF3,True,True,False,True,True,False,3,CollecTRI:18499083;DoRothEA:18499083;TRRUST:18499083,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,18499083
Q01543,P06307,FLI1,CCK,True,True,False,True,True,False,3,CollecTRI:17438102;DoRothEA:17438102;TRRUST:17438102,CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,17438102
Q01543,Q09472,FLI1,EP300,True,True,False,True,True,False,3,CollecTRI:24058639;DoRothEA:24058639;TRRUST:24058639,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,24058639
Q09472,Q01543,EP300,FLI1,True,False,False,False,False,False,0,,ENCODE-distal,1,1,,
Q01543,Q08050,FLI1,FOXM1,True,True,False,True,True,False,3,CollecTRI:23365673;DoRothEA:23365673;TRRUST:23365673,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,23365673
Q01543,Q13547,FLI1,HDAC1,True,True,False,True,True,False,3,CollecTRI:24058639;DoRothEA:24058639;TRRUST:24058639,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,24058639
Q01543,Q02363,FLI1,ID2,True,True,False,True,True,False,2,CollecTRI:12447693;TRRUST:12447693,CollecTRI;DoRothEA;FANTOM4_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,12447693
Q01543,P22301,FLI1,IL10,True,True,False,True,True,False,3,CollecTRI:20879862;DoRothEA:20879862;TRRUST:20879862,CollecTRI;DoRothEA;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,20879862
P01100,P68133,FOS,ACTA1,True,True,False,True,True,False,5,CollecTRI:1460048;DoRothEA:1460048;ORegAnno:1460048;PAZAR:1460048;TRRUST:1460048,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;ORegAnno;ORegAnno_DoRothEA;PAZAR;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,9,5,1,1460048
P01100,Q9NR55,FOS,BATF3,True,True,False,True,True,False,3,CollecTRI:12087103;DoRothEA:12087103;TRRUST:12087103,CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,12087103
P01100,Q07817,FOS,BCL2L1,True,True,False,True,True,False,3,CollecTRI:16911523;DoRothEA:16911523;TRRUST:16911523,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,16911523
P01100,P55211,FOS,CASP9,True,True,False,True,True,False,3,CollecTRI:20188076;DoRothEA:20188076;TRRUST:20188076,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,20188076
P01100,P06307,FOS,CCK,True,True,False,True,True,False,5,CollecTRI:1360635;CollecTRI:7693011;DoRothEA:1360635;TRRUST:1360635;TRRUST:7693011,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,2,1360635;7693011
P01100,P35638,FOS,DDIT3,True,True,False,True,True,False,2,CollecTRI:20188076;TRRUST:20188076,CollecTRI;DoRothEA;FANTOM4_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,20188076
P01100,P0DPQ6,FOS,DDIT3,True,True,False,True,True,False,2,CollecTRI:20188076;TRRUST:20188076,CollecTRI;DoRothEA;FANTOM4_DoRothEA;JASPAR_DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,20188076
P01100,P25445,FOS,FAS,True,True,False,True,True,False,3,CollecTRI:10903433;DoRothEA:10903433;TRRUST:10903433,CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,10903433
P01100,P31512,FOS,FMO4,True,True,False,True,True,False,3,CollecTRI:20188076;DoRothEA:20188076;TRRUST:20188076,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,20188076
P01100,P55317,FOS,FOXA1,True,True,False,True,True,False,3,CollecTRI:22577344;DoRothEA:22577344;TRRUST:22577344,CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,1,22577344
P01100,Q92598,FOS,HSPH1,True,True,False,True,True,False,3,CollecTRI:20188076;DoRothEA:20188076;TRRUST:20188076,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,20188076
P01100,O94898,FOS,LRIG2,True,True,False,True,True,False,3,CollecTRI:22721266;DoRothEA:22721266;TRRUST:22721266,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,22721266
P01100,P07196,FOS,NEFL,True,True,False,True,True,False,3,CollecTRI:8180132;DoRothEA:8180132;TRRUST:8180132,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,8180132
P01100,P19838,FOS,NFKB1,True,False,True,True,False,True,3,CollecTRI:20188076;DoRothEA:20188076;TRRUST:20188076,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,20188076
P01100,P20783,FOS,NTF3,True,True,False,True,True,False,3,CollecTRI:7733919;DoRothEA:7733919;TRRUST:7733919,CollecTRI;DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,1,7733919
P01100,P30990,FOS,NTS,True,True,False,True,True,False,7,CollecTRI:7675173;CollecTRI:7791794;CollecTRI:7804603;CollecTRI:7914659;CollecTRI:8182549;DoRothEA:7791794;TRRUST:7791794,CollecTRI;DoRothEA;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,5,7675173;7791794;7804603;7914659;8182549
P01100,Q16822,FOS,PCK2,True,False,True,True,False,True,3,CollecTRI:1325459;DoRothEA:1325459;TRRUST:1325459,CollecTRI;DoRothEA;GEREDB_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,1325459
P01100,P08559,FOS,PDHA1,True,True,False,True,True,False,3,CollecTRI:8476854;DoRothEA:8476854;TRRUST:8476854,CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,8476854
P01100,P00749,FOS,PLAU,True,True,False,True,True,False,3,CollecTRI:11774399;DoRothEA:11774399;TRRUST:11774399,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,11774399
P01100,Q13485,FOS,SMAD4,True,True,False,True,True,False,3,CollecTRI:11854297;DoRothEA:11854297;TRRUST:11854297,CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,11854297
P01100,Q9BT81,FOS,SOX7,True,True,False,True,True,False,3,CollecTRI:22171135;DoRothEA:22171135;TRRUST:22171135,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,22171135
P01100,P17947,FOS,SPI1,True,False,True,True,False,True,3,CollecTRI:9988737;DoRothEA:9988737;TRRUST:9988737,CollecTRI;DoRothEA;ENCODE-distal;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,4,1,9988737
P01100,Q9UBC9,FOS,SPRR3,True,True,False,True,True,False,3,CollecTRI:9889002;DoRothEA:9889002;TRRUST:9889002,CollecTRI;DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,9889002
