rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
11,Negative Regulation Of Programmed Cell Death (GO:0043069),4.300701121248168e-06,9.997191369845526,123.53261947952925,"['XBP1', 'SRC', 'MYC', 'DNAJA3', 'PLK1', 'KIF14', 'HSPA1A', 'IER3']",0.00038628115525392634,0,0,3.4130964784170796,8
12,Cellular Response To Oxygen-Containing Compound (GO:1901701),6.853172757527058e-06,9.357262502991146,111.26532608471943,"['EGR1', 'RRAGA', 'XBP1', 'INSIG1', 'SERPINE1', 'NRIP1', 'TLR4', 'CXCL2']",0.0005642445570363944,0,0,3.2485326216351544,8
13,Cell Cycle G1/S Phase Transition (GO:0044843),8.563425546229254e-06,36.05434782608695,420.6825006129661,"['CCNA2', 'CDKN1A', 'CCND1', 'MYC']",0.0006508203415134233,0,0,3.1865388815665026,4
14,Positive Regulation Of Cytokine Production (GO:0001819),1.3915199614819311e-05,10.213165911286127,114.20902212384273,"['EGR1', 'CD40', 'XBP1', 'SERPINE1', 'HMOX1', 'TLR4', 'HSPA1A']",0.0009820155156743914,0,0,3.007881650381545,7
15,G1/S Transition Of Mitotic Cell Cycle (GO:0000082),1.8464678233372257e-05,29.316138540899043,319.5356768746076,"['CDKN1A', 'CCND1', 'MYC', 'E2F2']",0.0012162068063047858,0,0,2.9149925704576845,4
16,Apoptotic Process (GO:0006915),2.14770538920808e-05,12.117936117936118,130.24994480864422,"['NFKBIA', 'MELK', 'CASP10', 'MYC', 'DDIT4', 'IER3']",0.0013262080778359896,0,0,2.8773883311601645,6
17,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),2.8059102879129766e-05,26.197628458498023,274.5825167346738,"['SRC', 'SERPINE1', 'HMOX1', 'HSPA1A']",0.001630729037916483,0,0,2.7876181953752814,4
18,Positive Regulation Of Protein Kinase Activity (GO:0045860),3.0454975531674853e-05,15.722222222222221,163.49949517332115,"['CCNA2', 'EGR1', 'CDKN1A', 'SRC', 'KIF14']",0.0016716397680719306,0,0,2.7768573056016614,5
19,Cellular Response To Steroid Hormone Stimulus (GO:0071383),3.252704029670916e-05,57.81818181818182,597.4606436592223,"['HSPA8', 'SRC', 'HSPA1A']",0.0016914060954288765,0,0,2.771752108646991,3
20,Chaperone Cofactor-Dependent Protein Refolding (GO:0051085),4.122055222407173e-05,52.994680851063826,535.0646948580581,"['DNAJB1', 'HSPA8', 'HSPA1A']",0.0018618091211373062,0,0,2.730064846386956,3
21,Positive Regulation Of DNA-templated Transcription (GO:0045893),4.209890054618719e-05,4.802000940613109,48.382507332967975,"['NFKBIA', 'CCNA2', 'FOSL1', 'EGR1', 'CD40', 'XBP1', 'ID2', 'MYC', 'NRIP1', 'SPP1', 'E2F2', 'TLR4']",0.0018618091211373062,0,0,2.730064846386956,12
22,Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),4.52261324972625e-05,23.043478260869566,230.523165537684,"['CCNA2', 'CDKN1A', 'CCND1', 'PLK1']",0.0018618091211373062,0,0,2.730064846386956,4
23,Cellular Response To UV (GO:0034644),4.52261324972625e-05,23.043478260869566,230.523165537684,"['CDKN1A', 'PCNA', 'MMP1', 'MYC']",0.0018618091211373062,0,0,2.730064846386956,4
24,Negative Regulation Of Cellular Component Organization (GO:0051129),4.52261324972625e-05,23.043478260869566,230.523165537684,"['HSPA8', 'DNAJB1', 'SRC', 'HSPA1A']",0.0018618091211373062,0,0,2.730064846386956,4
25,Regulation Of Cytokinesis (GO:0032465),4.751910548580115e-05,22.73913043478261,226.3539158165837,"['PLK1', 'KIF14', 'KIF20A', 'CDC25B']",0.0018779550487988616,0,0,2.726314807326697,4
26,Regulation Of Cell Division (GO:0051302),5.490857824503188e-05,21.872317006053937,214.56395146319088,"['MYC', 'PLK1', 'SFN', 'KIF20A']",0.0020865259733112112,0,0,2.680576204771813,4
27,Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),6.310381984044947e-05,21.068928950159066,203.75190754771063,"['CDKN1A', 'ID2', 'PLK1', 'KIF14']",0.002309132370457929,0,0,2.6365511705424693,4
28,'De Novo' Post-Translational Protein Folding (GO:0051084),6.928645627860575e-05,43.84666177549523,419.9309284926422,"['DNAJB1', 'HSPA8', 'HSPA1A']",0.0024448221001165168,0,0,2.6117527372555527,3
29,Cellular Response To Hormone Stimulus (GO:0032870),8.929816660000783e-05,19.18840579710145,178.9036694469556,"['HSPA8', 'XBP1', 'SRC', 'HSPA1A']",0.0030064599755930056,0,0,2.521944573456534,4
30,Locomotor Rhythm (GO:0045475),9.128927051395767e-05,207.77083333333334,1932.5756890799973,"['EGR1', 'ID2']",0.0030064599755930056,0,0,2.521944573456534,2
31,Regulation Of Cell Population Proliferation (GO:0042127),0.00010346025265325666,5.565518574604504,51.07099638888126,"['FOSL1', 'XBP1', 'CDKN1A', 'ID2', 'MYC', 'DNAJA3', 'KIF14', 'CDC25B', 'HSPA1A']",0.0032973783748844383,0,0,2.481831214611226,9
32,TRIF-dependent Toll-Like Receptor Signaling Pathway (GO:0035666),0.00012760097078443218,166.20833333333334,1490.3240703269437,"['CD40', 'TLR4']",0.003764868031098558,0,0,2.424250242403563,2
33,Regulation Of Vascular Wound Healing (GO:0061043),0.00012760097078443218,166.20833333333334,1490.3240703269437,"['XBP1', 'SERPINE1']",0.003764868031098558,0,0,2.424250242403563,2
34,Positive Regulation Of Vasculature Development (GO:1904018),0.00013219781074871336,17.26086956521739,154.16047142432132,"['CD40', 'XBP1', 'SERPINE1', 'HMOX1']",0.003764868031098558,0,0,2.424250242403563,4
35,Cellular Response To Heat (GO:0034605),0.00013608554044552048,34.35250143760782,305.8137622456798,"['DNAJB1', 'HMOX1', 'HSPA1A']",0.003764868031098558,0,0,2.424250242403563,3
36,Negative Regulation Of MAPK Cascade (GO:0043409),0.00013718142623436042,17.08910891089109,151.99405892565503,"['RGS2', 'MYC', 'TLR4', 'DUSP6']",0.003764868031098558,0,0,2.424250242403563,4
37,Regulation Of Chemokine Production (GO:0032642),0.00014657115641659294,33.4468085106383,295.2684100827493,"['EGR1', 'HMOX1', 'TLR4']",0.003913846014583617,0,0,2.407396265119553,3
38,Positive Regulation Of miRNA Transcription (GO:1902895),0.0001690886138794749,31.77127659574468,275.93632160450045,"['FOSL1', 'EGR1', 'MYC']",0.004195616342700111,0,0,2.3772042316000555,3
39,MyD88-independent Toll-Like Receptor Signaling Pathway (GO:0002756),0.00016986300982591541,138.5,1202.2517804391236,"['CD40', 'TLR4']",0.004195616342700111,0,0,2.3772042316000555,2
40,Positive Regulation Of Ubiquitin Protein Ligase Activity (GO:1904668),0.00016986300982591541,138.5,1202.2517804391236,"['CDC20', 'PLK1']",0.004195616342700111,0,0,2.3772042316000555,2
41,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),0.00017596171244768462,15.97584541062802,138.1150837500777,"['CCNA2', 'CDKN1A', 'CCND1', 'SRC']",0.004240248095080791,0,0,2.372608732281697,4
