rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
164,Downregulation Of ERBB4 Signaling R-HSA-1253288,0.022280559123686802,50.87244897959184,193.52086993316271,['SRC'],0.06856576825563142,0,0,1.1638926535088172,1
165,GP1b-IX-V Activation Signaling R-HSA-430116,0.022280559123686802,50.87244897959184,193.52086993316271,['SRC'],0.06856576825563142,0,0,1.1638926535088172,1
166,TRIF-mediated Programmed Cell Death R-HSA-2562578,0.022280559123686802,50.87244897959184,193.52086993316271,['TLR4'],0.06856576825563142,0,0,1.1638926535088172,1
167,Lipophagy R-HSA-9613354,0.022280559123686802,50.87244897959184,193.52086993316271,['HSPA8'],0.06856576825563142,0,0,1.1638926535088172,1
168,NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558,0.022280559123686802,50.87244897959184,193.52086993316271,['NRIP1'],0.06856576825563142,0,0,1.1638926535088172,1
169,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.022674995409076425,9.092948717948717,34.43038199107018,"['CDC20', 'PLK1']",0.06936670193190834,0,0,1.1588489537176083,2
170,Leishmania Infection R-HSA-9658195,0.023820769977796415,5.1550401116149285,19.265402454250758,"['SRC', 'GNAS', 'HMOX1']",0.0724431651677691,0,0,1.1400025828628615,3
171,MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,0.024055644471290525,8.801418439716311,32.80628046281635,"['NFKBIA', 'DUSP6']",0.07272963854770294,0,0,1.1382885707831396,2
172,EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,0.024523395696302068,8.708333333333334,32.29161197321332,"['CDC20', 'PLK1']",0.0730475173629852,0,0,1.136394539673257,2
173,RUNX3 Regulates p14-ARF R-HSA-8951936,0.02472594881725805,45.21768707482993,167.3010120823387,['CCND1'],0.0730475173629852,0,0,1.136394539673257,1
